gender,income,criminals,diffrace,leftwings,alcoholics,rightwings,manykids,neurotics,muslims,imigrants,aids,addicts,homoseksuals,jews,gypsies,age,edu,id
2,400000,1,1,0,1,1,0,1,1,1,0,1,0,0,1,35,2,276
2,672000,1,0,0,0,1,0,1,0,0,0,0,0,0,0,35,2,277
1,600000,0,0,0,1,0,0,0,0,0,0,1,0,0,1,31,3,278
2,800000,1,0,0,0,1,0,0,0,0,0,1,0,0,1,66,3,279
1,450000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,47,3,280
2,600000,1,0,0,1,1,0,0,0,0,0,1,0,0,0,35,3,281
1,500000,1,0,0,0,1,0,0,0,0,0,1,0,0,0,43,4,282
1,170000,1,0,0,1,1,0,0,0,0,0,1,0,0,0,49,0,283
2,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,284
2,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,285
1,100000,0,0,0,1,1,0,0,0,0,0,1,0,0,0,23,4,286
1,280000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,3,287
2,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,288
1,44000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,4,289
1,600000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,4,290
1,300000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,51,3,291
1,270000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,37,0,292
2,250000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24,3,293
2,198000,1,0,0,0,0,0,0,0,0,1,1,1,0,0,48,0,294
2,540000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,1,295
2,100000,1,0,0,1,0,0,1,0,0,0,1,0,0,0,24,1,296
2,670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3,297
2,575000,1,0,0,1,1,0,0,1,1,0,1,0,0,0,43,2,298
2,500000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,299
2,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,300
2,410000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,4,301
2,55000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25,4,302
1,550000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,38,4,303
1,900000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,48,1,304
2,250000,0,0,0,1,0,0,0,1,0,0,1,0,0,1,32,1,305
1,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,306
2,450000,1,0,0,0,1,0,0,0,0,0,1,0,0,0,30,0,307
2,140000,0,0,0,1,0,0,0,1,0,0,1,0,0,0,41,1,308
2,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,309
2,1000000,1,0,0,1,1,0,0,0,0,0,1,0,0,1,45,4,310
1,1000000,1,0,0,1,0,0,1,0,0,1,1,0,0,0,35,4,311
1,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,312
1,650000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,57,1,313
1,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,314
2,450000,1,0,0,0,0,0,1,0,0,0,1,0,0,0,28,2,315
2,650000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,54,3,316
1,400000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,52,3,317
1,550000,1,0,0,0,0,0,1,1,0,1,1,1,0,0,58,1,318
2,324000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,65,2,319
1,250000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,25,1,320
1,500000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,38,1,321
2,350000,0,0,0,1,0,0,0,1,1,1,1,0,0,1,30,2,322
1,450000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,1,323
2,400000,0,0,0,1,1,0,0,0,0,0,1,0,0,0,51,0,324
1,270000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,57,1,325
1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,326
1,400000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,31,1,327
2,500000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,29,0,328
1,650000,0,0,1,0,1,0,1,0,0,0,1,0,0,0,61,2,329
1,360000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,35,1,330
2,350000,0,0,0,1,0,0,1,0,0,0,1,0,0,0,28,3,331
2,400000,1,0,0,1,0,0,1,0,0,0,1,0,0,0,36,1,332
2,300000,1,0,0,1,0,0,1,0,1,0,1,0,0,0,48,0,333
1,380000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28,3,334
1,600000,1,0,0,1,0,0,0,1,0,0,1,0,0,0,38,1,335
2,350000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,24,2,336
2,140000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,47,0,337
2,390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3,338
1,250000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,1,339
1,130000,0,0,0,1,0,0,0,0,0,0,1,1,0,0,54,3,340
2,325000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,46,0,341
2,220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,3,342
1,300000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,64,3,343
1,250000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0,344
1,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,345
2,400000,1,1,0,1,0,0,1,1,0,0,1,1,0,1,60,0,346
1,500000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,51,3,347
2,120000,1,0,0,1,0,0,0,0,0,1,1,0,0,0,47,1,348
